,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C]
1892,6.595589,9.033110,8.574319,8.443493,8.417216,8.182925,7.829441,7.020180,1.529519,6.210919,7.020180,6.534486,0.917971,6.048792,6.761143,6.406384,0.670502,6.051625
1893,6.527352,8.838120,8.449551,8.249122,8.233968,7.957763,7.668942,6.892850,1.463140,6.116758,6.892850,6.474539,0.788628,6.056227,6.669751,6.364612,0.575268,6.059473
1894,6.398409,7.807700,7.495716,6.841261,6.832192,6.529698,6.323378,6.561757,-0.543683,6.800136,6.561757,6.392093,0.386963,6.222428,6.471269,6.315139,0.356094,6.159009
1895,6.297020,7.311907,7.032347,6.226972,6.218823,5.867784,5.764888,6.330489,-1.434250,6.896089,6.330489,6.315677,0.037559,6.300866,6.322589,6.267799,0.138937,6.213009
1896,6.228036,7.075676,6.793968,5.976602,5.968359,5.565870,5.534415,6.193379,-1.655663,6.852342,6.193379,6.256999,-0.159848,6.320619,6.227310,6.228865,-0.003909,6.230421
1897,6.157905,6.822136,6.556182,5.673366,5.665708,5.259151,5.242458,6.050787,-2.148744,6.859117,6.050787,6.198499,-0.392655,6.346211,6.129567,6.190291,-0.161420,6.251015
1898,6.105837,6.653531,6.387160,5.528528,5.520723,5.093177,5.086194,5.953774,-2.299107,6.821353,5.953774,6.152345,-0.526220,6.350917,6.059679,6.158589,-0.262114,6.257499
1899,6.044097,6.454054,6.204490,5.292380,5.285200,4.870722,4.864175,5.835335,-2.741305,6.806494,5.835335,6.098768,-0.743596,6.362201,5.975832,6.122113,-0.412907,6.268393
1900,6.058717,6.851982,6.610136,5.761457,5.754364,5.350275,5.335089,5.907798,-1.674298,6.480507,5.907798,6.096271,-0.550996,6.284745,6.008317,6.116317,-0.315734,6.224316
1901,6.048478,6.933998,6.716728,5.856196,5.847724,5.489883,5.415290,5.907363,-1.602002,6.399436,5.907363,6.081310,-0.566306,6.255257,6.000135,6.103726,-0.337255,6.207318
1902,6.246773,8.205812,8.008307,7.558099,7.551035,7.242466,7.012226,6.387714,2.250548,5.763202,6.387714,6.219366,0.606673,6.051018,6.297928,6.188310,0.395032,6.078691
1903,6.415620,8.775355,8.476363,8.170643,8.157316,7.889071,7.671208,6.721944,3.856634,5.772681,6.721944,6.362099,1.461965,6.002254,6.530027,6.284868,0.996021,6.039710
1904,6.574522,9.195395,8.821108,8.868288,8.844877,8.567970,8.352962,7.032550,5.240788,5.712137,7.032550,6.496818,2.126346,5.961087,6.746826,6.377602,1.465471,6.008377
1905,6.681514,9.428369,9.006039,9.098162,9.073026,8.798878,8.611868,7.213587,5.599544,5.815306,7.213587,6.596060,2.472942,5.978534,6.884239,6.449828,1.739641,6.015416
