,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHX0_P_cp,GHX1_P_cp,GHX2_P_cp
3502,0.0,20707.433822270636,1714.9643193401707,3854.9573297336565,-0.0,167.21087800709927,0.0,1829.8077186579114,108.4561555762155,118.68805883311559,-0.0,5.148159325492376,0.0,2071.7416137275245,78.58899188039541,2534.562638954234,-0.0,109.93803769361288,99.75312104674266,28.886380224570598,15.40606945310432,13.480310771466284
3503,0.0,18572.35896755198,1546.5324755268111,3877.41170150053,-0.0,168.35983268618511,0.0,1092.9329941547667,64.93998502067815,116.33277369186631,-0.0,5.051247538945348,0.0,1655.4808654678802,62.962490650241676,1422.5042219321526,-0.0,61.76609326969516,64.4060671655897,21.578768146565036,11.508676344834686,10.070091801730351
3504,0.0,15990.95049426981,1338.4738536128862,3900.1893139077206,-0.0,169.52745148162884,0.0,1315.7579062878874,78.35625538703239,119.65518713230406,-0.0,5.200988285046319,0.0,1298.4843274276807,49.50382863885917,439.0313301451453,-0.0,19.083140978488686,42.688747359174975,16.40404942691276,8.748826361020138,7.655223065892624
3505,0.0,15151.609590674792,1273.6929737705111,3912.52623153967,-0.0,170.22257227952394,0.0,751.9991650485688,44.864405458110326,117.45572922223006,-0.0,5.110155222986785,0.0,1065.9730885003435,40.718826666550875,251.06195880658788,-0.0,10.922971476864832,33.0064934033954,13.818950251695291,7.370106800904155,6.448843450791135
3506,0.0,13614.691735421084,1147.8262477162898,3925.0742259507083,-0.0,170.8814426193759,0.0,624.2933725147238,37.28965651570323,120.42382555472288,-0.0,5.242753602080169,0.0,881.4533215812589,33.71375800736472,109.28651855585001,-0.0,4.757881475515149,24.15425152037081,11.222023778142727,5.985079348342786,5.23694442979994
3507,0.0,12257.044404955454,1035.8205920809287,3935.9336934774055,-0.0,171.45012380681715,0.0,610.5278717199793,36.50191045196271,118.06850010811092,-0.0,5.143089426218513,0.0,726.3746606011871,27.811008413074383,109.59039377123392,-0.0,4.773781278697184,18.35580002971479,9.345251785314135,4.984134285500873,4.361117499813264
3508,0.0,11674.717537805993,988.4220375304484,3944.4303654850296,-0.0,171.89685950213595,0.0,906.4365595437044,54.23237848147245,121.13079262698258,-0.0,5.27883646363279,0.0,636.0397803595517,24.371487510442332,252.99124629151714,-0.0,11.025267703945286,17.447111032545845,9.034230041949744,4.8182560223731965,4.215974019576548
3509,0.0,10953.231440885604,928.497834188335,3950.283472540466,-0.0,172.20533511812343,0.0,858.9809382778604,51.41776738267155,156.74039710501282,-0.0,6.832809037032971,0.0,674.9654743514016,25.8767231289387,1352.6802636536142,-0.0,58.96760567421684,16.860618598994556,8.830618672850619,4.709663292186996,4.120955380663623
3510,0.0,12835.166385756242,1087.3009250521247,3947.033076607265,-0.0,172.03496543776834,0.0,154.88865468615194,9.26911089935539,147.75791642580688,-0.0,6.44016088847173,0.0,861.8725658471124,33.03299673285398,4551.3362482675875,-0.0,198.37405944401337,28.09921803344543,12.412853159079292,6.620188351508957,5.792664807570337
3511,0.0,16828.455146471224,1421.5601801102466,3933.3036668155823,-0.0,171.31879398083927,0.0,0.0,0.0,197.50986938835587,-0.0,8.60273080576077,0.0,996.4979784043594,38.1465851866692,4821.690674217086,-0.0,210.01333769998516,51.70542093110328,18.639439429741365,9.941034362528729,8.698405067212638
