,Zone0_EFT[C],Zone0_ExFT[C],Zone0_CNT[C],Zone1_EFT[C],Zone1_ExFT[C],Zone1_CNT[C],Zone2_EFT[C],Zone2_ExFT[C],Zone2_CNT[C],Zone3_EFT[C],Zone3_ExFT[C],Zone3_CNT[C],Zone4_EFT[C],Zone4_ExFT[C],Zone4_CNT[C],Zone5_EFT[C],Zone5_ExFT[C],Zone5_CNT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX0_CNT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX1_CNT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],GHX2_CNT[C]
54,5.225483,4.797753,4.797753,5.225483,0.840927,4.288908,5.225483,2.217598,3.050976,5.225483,0.840927,3.046444,5.225483,2.199155,2.876241,5.225483,0.840927,2.847666,2.847666,4.036574,-7.431495,5.225483,5.225483,2.847666,4.036570,-7.431469,5.225474,5.225480,2.847666,4.036579,-7.431525,5.225492,5.225483
55,5.058936,8.050458,8.050458,5.058936,0.686296,7.293871,5.058936,2.059436,5.112711,5.058936,0.686296,5.103050,5.058936,2.040842,4.437022,5.058936,0.686296,4.243143,4.243143,4.651040,-2.341810,5.058936,5.058936,4.243143,4.651038,-2.341802,5.058933,5.058935,4.243143,4.651041,-2.341820,5.058939,5.058936
56,5.092934,10.031971,10.031971,5.092934,0.733914,8.626813,5.092934,2.103415,6.457289,5.092934,0.733914,6.431605,5.092934,2.084944,5.511587,5.092934,0.733914,5.250921,5.250921,5.171928,0.458279,5.092934,5.092934,5.250921,5.171928,0.458277,5.092935,5.092935,5.250921,5.171927,0.458282,5.092934,5.092934
57,5.165528,10.551121,10.551121,5.165528,0.801556,8.872249,5.165528,3.246960,7.668535,5.165528,0.801556,7.610964,5.165528,2.154132,6.384927,5.165528,0.801556,6.070372,6.070372,5.617950,2.439717,5.165528,5.165528,6.070372,5.617952,2.439707,5.165532,5.165530,6.070372,5.617948,2.439728,5.165524,5.165528
58,5.231392,10.994138,10.994138,5.231392,0.859283,9.110316,5.231392,4.192626,8.516765,5.231392,0.859283,8.442799,5.231392,2.214231,7.066344,5.231392,0.859283,6.738451,6.738451,5.984922,3.793094,5.231392,5.231392,6.738451,5.984925,3.793079,5.231398,5.231394,6.738451,5.984918,3.793110,5.231386,5.231392
59,5.369842,11.298089,11.298089,5.369842,0.988208,9.174866,5.369842,4.829812,8.771203,5.369842,0.988208,8.696854,5.369842,2.346120,7.402390,5.369842,0.988208,7.096976,7.096976,6.233409,4.364093,5.369842,5.369842,7.096976,6.233412,4.364076,5.369849,5.369844,7.096976,6.233405,4.364112,5.369834,5.369842
60,5.481992,11.493888,11.493888,5.481992,1.085225,9.323586,5.481992,5.801652,8.980150,5.481992,1.085225,8.894518,5.481992,2.447496,7.668315,5.481992,1.085225,7.419871,7.419871,6.450931,4.963841,5.481992,5.481992,7.419871,6.450935,4.963821,5.481999,5.481994,7.419871,6.450927,4.963863,5.481983,5.481992
61,5.562472,11.658542,11.658542,5.562472,1.153738,9.751086,5.562472,6.104984,9.307029,5.562472,1.153738,9.203616,5.562472,2.519421,7.998555,5.562472,1.153738,7.775004,7.775004,6.668738,5.693862,5.562472,5.562472,7.775004,6.668742,5.693840,5.562480,5.562475,7.775004,6.668733,5.693886,5.562462,5.562472
62,5.662839,11.835822,11.835822,5.662839,1.244363,9.716192,5.662839,7.662541,9.519459,5.662839,1.244363,9.421090,5.662839,2.612928,8.224384,5.662839,1.244363,8.022973,8.022973,6.842906,6.103715,5.662839,5.662839,8.022973,6.842910,6.103692,5.662848,5.662842,8.022973,6.842901,6.103742,5.662829,5.662839
63,5.755133,11.932386,11.932386,5.755133,1.325408,9.929780,5.755133,7.040659,9.671829,5.755133,1.325408,9.606087,5.755133,2.697219,8.368341,5.755133,1.325408,8.190008,8.190008,6.972571,6.270312,5.755133,5.755133,8.190008,6.972575,6.270288,5.755142,5.755137,8.190008,6.972566,6.270339,5.755123,5.755133
