,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],ISHX0_N_EFT[C],ISHX0_N_ExFT[C],ISHX0_HP_EFT[C]
2179,8.169688,12.014771,9.221957,9.057945,9.050136,9.039584,8.819417,7.874948,3.416028,6.930480,7.874948,7.251934,2.253368,6.628919,7.542674,7.037500,1.827152,6.532326,7.306926,10.757974,11.620737
2180,7.813833,11.334630,8.476261,8.130608,8.120577,8.055080,7.792572,7.466725,0.900362,7.140878,7.466725,7.060245,1.123163,6.653765,7.249936,6.893025,0.986196,6.536114,7.083377,10.005198,10.735653
2181,7.639303,10.985864,8.138327,7.650681,7.639297,7.533766,7.331275,7.238383,0.270762,7.145492,7.238383,6.951641,0.835802,6.664899,7.085454,6.813483,0.792749,6.541511,6.958534,9.681609,10.362378
2182,7.455893,10.540960,7.836114,7.296684,7.288583,7.132941,6.952217,7.052517,-0.284747,7.152818,7.052517,6.859402,0.548242,6.666287,6.949523,6.744924,0.580841,6.540326,6.854043,9.261443,9.863293
2183,7.289327,10.110170,7.553581,6.898629,6.891049,6.684654,6.588114,6.880120,-0.861966,7.172126,6.880120,6.778844,0.298954,6.677569,6.826107,6.686769,0.411307,6.547432,6.761082,8.874063,9.402308
2184,7.086297,9.428120,7.275135,6.603997,6.597129,6.340186,6.310855,6.738549,-1.259842,7.166242,6.738549,6.708400,0.088809,6.678250,6.722469,6.635012,0.257619,6.547555,6.681656,8.300220,8.704861
2185,6.864554,8.730013,6.951387,6.180290,6.174241,5.887088,5.872198,6.540886,-2.179118,7.209574,6.540886,6.623081,-0.267855,6.705275,6.584723,6.576172,0.027866,6.567621,6.580733,7.716019,7.999841
2186,6.659797,8.052287,6.703235,5.923726,5.917769,5.607501,5.601473,6.385689,-2.640951,7.169906,6.385689,6.545003,-0.536510,6.704317,6.470657,6.520125,-0.166592,6.569594,6.493742,7.157961,7.324015
2187,6.453729,7.401473,6.463753,5.624326,5.618897,5.310185,5.304592,6.214589,-3.297211,7.124586,6.214589,6.458212,-0.882724,6.701835,6.344521,6.458085,-0.411477,6.571648,6.397518,6.622365,6.678577
2188,6.337804,7.072025,6.339836,5.528770,5.523442,5.206072,5.193199,6.106373,-3.426116,7.019547,6.106373,6.389679,-1.062931,6.672986,6.257470,6.406463,-0.559004,6.555456,6.327000,6.370218,6.381023
2189,6.176765,6.636313,6.171055,5.314676,5.308055,5.012219,4.948009,5.947846,-4.096193,6.947683,5.947846,6.300369,-1.444237,6.652892,6.135859,6.340637,-0.838947,6.545415,6.231422,6.012796,5.958140
2190,6.295929,7.271404,6.317002,5.590192,5.585725,5.333300,5.136196,5.928519,-3.580082,6.720843,5.928519,6.251845,-1.460934,6.575171,6.100960,6.299222,-0.895841,6.497485,6.193482,6.603270,6.705717
